t(s);t^2(s^2);T_1 (K);T_2 (K);;A_1;B_1;C_1
0;0;294,65;294,65;;;;
60;3600;296,45;293,85;;;;
120;14400;297,85;292,45;;;;
180;32400;299,55;290,85;;;;
240;57600;301,05;289,75;;;;
300;90000;302,65;288,75;;;;
360;129600;304,15;287,75;;;;
420;176400;305,65;286,65;;;;
480;230400;306,95;285,65;;;;
540;291600;308,25;284,65;;;;
600;360000;309,35;283,75;;;;
660;435600;310,65;282,75;;;;
720;518400;311,65;281,85;;;;
780;608400;312,75;280,95;;;;
840;705600;313,75;280,25;;;;
900;810000;314,65;279,35;;;;
960;921600;315,55;278,65;;;;
1020;1040400;316,45;277,85;;;;
1080;1166400;317,25;277,15;;;;
1140;1299600;317,95;276,45;;;;
1200;1440000;318,75;275,85;;;;
1260;1587600;319,45;275,25;;;;
1320;1742400;320,25;274,55;;;;
1380;1904400;320,95;273,95;;;;
1440;2073600;321,55;273,45;;;;
1500;2250000;322,15;272,95;;;;
1560;2433600;322,65;272,45;;;;
1620;2624400;323,15;273,05;;;;
