t(s);&;t^2(s^2);&;T_1 (C);&;T_2 (C) ;&;T_1 (K);&;T_2 (K);&;p_a (bar);&;p_b (bar);&;p_a+ (Pa);&;p_b+ (Pa);&;P (W);&;1/T_1 (1/K);\\
0;&;0;&;21,5;&;21,5;&;294,65;&;294,65;&;4,2;&;3,8;&;520000;&;480000;&;;&;0,0034;\\
60;&;3600;&;23,3;&;20,7;&;296,45;&;293,85;&;3,9;&;5,3;&;490000;&;630000;&;;&;0,0034;\\
120;&;14400;&;24,7;&;19,3;&;297,85;&;292,45;&;3,6;&;5,9;&;460000;&;690000;&;;&;0,0034;\\
180;&;32400;&;26,4;&;17,7;&;299,55;&;290,85;&;3,6;&;6;&;460000;&;700000;&;;&;0,0033;\\
240;&;57600;&;27,9;&;16,6;&;301,05;&;289,75;&;3,6;&;6,4;&;460000;&;740000;&;;&;0,0033;\\
300;&;90000;&;29,5;&;15,6;&;302,65;&;288,75;&;3,5;&;6,8;&;450000;&;780000;&;125;&;0,0033;\\
360;&;129600;&;31;&;14,6;&;304,15;&;287,75;&;3,3;&;7;&;430000;&;800000;&;125;&;0,0033;\\
420;&;176400;&;32,5;&;13,5;&;305,65;&;286,65;&;3,2;&;7,4;&;420000;&;840000;&;125;&;0,0033;\\
480;&;230400;&;33,8;&;12,5;&;306,95;&;285,65;&;3;&;7,5;&;400000;&;850000;&;125;&;0,0033;\\
540;&;291600;&;35,1;&;11,5;&;308,25;&;284,65;&;2,4;&;8;&;340000;&;900000;&;125;&;0,0032;\\
600;&;360000;&;36,2;&;10,6;&;309,35;&;283,75;&;2,8;&;8,1;&;380000;&;910000;&;125;&;0,0032;\\
660;&;435600;&;37,5;&;9,6;&;310,65;&;282,75;&;2,7;&;8,5;&;370000;&;950000;&;125;&;0,0032;\\
720;&;518400;&;38,5;&;8,7;&;311,65;&;281,85;&;2,8;&;8,9;&;380000;&;990000;&;125;&;0,0032;\\
780;&;608400;&;39,6;&;7,8;&;312,75;&;280,95;&;2,5;&;9;&;350000;&;1000000;&;125;&;0,0032;\\
840;&;705600;&;40,6;&;7,1;&;313,75;&;280,25;&;2,4;&;9,1;&;340000;&;1010000;&;115;&;0,0032;\\
900;&;810000;&;41,5;&;6,2;&;314,65;&;279,35;&;2,4;&;9,3;&;340000;&;1030000;&;115;&;0,0032;\\
960;&;921600;&;42,4;&;5,5;&;315,55;&;278,65;&;2,2;&;9,7;&;320000;&;1070000;&;115;&;0,0032;\\
1020;&;1040400;&;43,3;&;4,7;&;316,45;&;277,85;&;2,1;&;9,9;&;310000;&;1090000;&;115;&;0,0032;\\
1080;&;1166400;&;44,1;&;4;&;317,25;&;277,15;&;2,1;&;10,1;&;310000;&;1110000;&;115;&;0,0032;\\
1140;&;1299600;&;44,8;&;3,3;&;317,95;&;276,45;&;2,1;&;10,2;&;310000;&;1120000;&;115;&;0,0031;\\
1200;&;1440000;&;45,6;&;2,7;&;318,75;&;275,85;&;2;&;10,5;&;300000;&;1150000;&;115;&;0,0031;\\
1260;&;1587600;&;46,3;&;2,1;&;319,45;&;275,25;&;2;&;10,8;&;300000;&;1180000;&;115;&;0,0031;\\
1320;&;1742400;&;47,1;&;1,4;&;320,25;&;274,55;&;1,9;&;11;&;290000;&;1200000;&;115;&;0,0031;\\
1380;&;1904400;&;47,8;&;0,8;&;320,95;&;273,95;&;1,8;&;11,1;&;280000;&;1210000;&;115;&;0,0031;\\
1440;&;2073600;&;48,4;&;0,3;&;321,55;&;273,45;&;1,8;&;11,2;&;280000;&;1220000;&;115;&;0,0031;\\
1500;&;2250000;&;49;&;-0,2;&;322,15;&;272,95;&;1,8;&;11,6;&;280000;&;1260000;&;115;&;0,0031;\\
1560;&;2433600;&;49,5;&;-0,7;&;322,65;&;272,45;&;1,8;&;11,8;&;280000;&;1280000;&;115;&;0,0031;\\
1620;&;2624400;&;50;&;-0,1;&;323,15;&;273,05;&;1,8;&;12;&;280000;&;1300000;&;115;&;0,0031;\\
